scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,somebory,SomeborY,somebory,SomeborY,,1509.346,9,5,4,0.555556,2024-07-06,9.346,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,dok_leuzzi,Dok_Leuzzi,dok_leuzzi,Dok_Leuzzi,,1509.316,6,3,3,0.5,2025-09-21,9.316,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,southamericanape,southamericanape,southamericanape,southamericanape,,1509.291,9,5,4,0.555556,2025-07-13,9.291,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,eduardojmp,eduardojmp,eduardojmp,eduardojmp,,1509.273,70,33,37,0.471429,2025-04-11,9.273,12
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,ermili,ermili,ermili,ermili,,1509.219,7,4,3,0.571429,2026-04-19,9.219,1
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,darkhellkite,DarkHellkite,darkhellkite,DarkHellkite,,1509.199,13,7,6,0.538462,2024-04-06,9.199,2
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,worgasmo,Worgasmo,worgasmo,Worgasmo,,1509.179,14,7,7,0.5,2025-11-15,9.179,2
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,nathanofthegiltleaf,NathanOfTheGiltLeaf,nathanofthegiltleaf,NathanOfTheGiltLeaf,,1509.173,23,11,12,0.478261,2025-08-02,9.173,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,dj_desu,DJ_DeSu,dj_desu,DJ_DeSu,,1509.163,17,9,8,0.529412,2025-08-02,9.163,2
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,iab_magic,IAB_MaGiC,iab_magic,IAB_MaGiC,,1509.158,80,39,41,0.4875,2025-04-20,9.158,13
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,giaws,Giaws,giaws,Giaws,,1509.095,23,11,12,0.478261,2025-12-28,9.095,4
player,multi-year,2024,2026,continuous,2026-05-11T02:34:04+00:00,63943,64200,2024-2026,All-time,forestcrawler,ForestCrawler,forestcrawler,ForestCrawler,,1509.074,11,6,5,0.545455,2025-12-21,9.074,2
