scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,barff,barff,barff,barff,,1681.63,621,399,222,0.642512,2026-05-10,181.63,101
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,jessy_samek,jessy_samek,jessy_samek,jessy_samek,,1651.668,93,56,37,0.602151,2026-04-19,151.668,16
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,luminati,Luminati,luminati,Luminati,,1648.49,1482,868,614,0.585695,2026-05-10,148.49,232
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,grajtow,grajtow,grajtow,grajtow,,1646.255,170,111,59,0.652941,2026-05-10,146.255,24
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,ed_elric,Ed_Elric,ed_elric,Ed_Elric,,1640.781,188,121,67,0.643617,2026-02-22,140.781,28
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,walker735,Walker735,walker735,Walker735,,1638.901,568,345,223,0.607394,2026-05-10,138.901,98
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,enz091,Enz091,enz091,Enz091,,1633.991,164,94,70,0.573171,2026-05-10,133.991,26
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,todeshorst,Todeshorst,todeshorst,Todeshorst,,1631.646,43,31,12,0.72093,2025-11-15,131.646,5
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,seasonofmists,seasonofmists,seasonofmists,seasonofmists,,1631.441,557,335,222,0.601436,2026-05-10,131.441,97
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,spikeyou,SpikeYou,spikeyou,SpikeYou,,1630.275,184,103,81,0.559783,2026-05-10,130.275,29
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,gn42,Gn42,gn42,Gn42,,1629.782,112,73,39,0.651786,2026-05-03,129.782,20
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,billsive,billsive,billsive,billsive,,1627.539,82,50,32,0.609756,2026-03-29,127.539,13
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,adrowo,Adrowo,adrowo,Adrowo,,1625.668,83,51,32,0.614458,2025-11-15,125.668,13
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,mehanske,mehanske,mehanske,mehanske,,1619.926,223,129,94,0.578475,2026-05-09,119.926,36
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,primoshow1,PrimoShow1,primoshow1,PrimoShow1,,1619.539,144,82,62,0.569444,2026-05-08,119.539,23
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,sai199orz,sai199orz,sai199orz,sai199orz,,1617.746,194,102,92,0.525773,2025-11-16,117.746,32
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,_against_,_against_,_against_,_against_,,1617.183,499,278,221,0.557114,2026-05-08,117.183,87
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,purgatory_01,Purgatory_01,purgatory_01,Purgatory_01,,1616.844,506,275,231,0.543478,2026-05-10,116.844,82
player,multi-year,2025,2026,continuous,2026-05-11T02:34:04+00:00,41768,42000,2025-2026,All-time,flower270,flower270,flower270,flower270,,1615.678,97,63,34,0.649485,2026-05-10,115.678,14
