scope,window.type,window.year,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,cam_13:::Mono Blue Terror,CAM_13 (Mono Blue Terror),cam_13,CAM_13,Mono Blue Terror,1493.74,10,4,6,0.4,2024-08-03,-6.26,2
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,gazmon48:::Broodscale Combo,gazmon48 (Broodscale Combo),gazmon48,gazmon48,Broodscale Combo,1493.739,5,2,3,0.4,2024-07-06,-6.261,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,__noob__:::Dimir Control,__Noob__ (Dimir Control),__noob__,__Noob__,Dimir Control,1493.728,11,5,6,0.454545,2024-12-15,-6.272,2
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,416frowningtable:::Grixis Affinity,416FrowningTable (Grixis Affinity),416frowningtable,416FrowningTable,Grixis Affinity,1493.705,3,1,2,0.333333,2024-10-12,-6.295,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,killerp0p0:::Mono Blue Faeries,Killerp0p0 (Mono Blue Faeries),killerp0p0,Killerp0p0,Mono Blue Faeries,1493.701,3,1,2,0.333333,2024-12-29,-6.299,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,heisen01:::Orzhov Blade,Heisen01 (Orzhov Blade),heisen01,Heisen01,Orzhov Blade,1493.659,7,3,4,0.428571,2024-08-11,-6.341,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,saikyoluige:::Boros Glitters,saikyoluige (Boros Glitters),saikyoluige,saikyoluige,Boros Glitters,1493.642,3,1,2,0.333333,2024-04-20,-6.358,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,mnaga:::Rakdos Madness,mnaga (Rakdos Madness),mnaga,mnaga,Rakdos Madness,1493.625,7,3,4,0.428571,2024-07-07,-6.375,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,albertosd:::Grixis Control,albertoSD (Grixis Control),albertosd,albertoSD,Grixis Control,1493.613,7,3,4,0.428571,2024-04-06,-6.387,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,kirblinxy:::Izzet Control,Kirblinxy (Izzet Control),kirblinxy,Kirblinxy,Izzet Control,1493.605,9,4,5,0.444444,2024-07-06,-6.395,1
player-on-deck,seasonal,2024,2026-05-02T03:43:10-03:00,22157,22200,2024,2024,mr.page:::Gruul Eldrazi Stompy,Mr.Page (Gruul Eldrazi Stompy),mr.page,Mr.Page,Gruul Eldrazi Stompy,1493.605,7,3,4,0.428571,2024-07-21,-6.395,1
