scope,window.type,window.year,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,gn42,Gn42,gn42,Gn42,,1709.002,238,162,76,0.680672,2024-12-01,209.002,41
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,discovern,discoverN,discovern,discoverN,,1685.664,400,253,147,0.6325,2024-12-21,185.664,61
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,spockvidaloka,SpockVidaLoka,spockvidaloka,SpockVidaLoka,,1681.811,388,236,152,0.608247,2024-12-29,181.811,61
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,__noob__,__Noob__,__noob__,__Noob__,,1651.76,318,174,144,0.54717,2024-12-27,151.76,57
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,carvs,carvs,carvs,carvs,,1648.122,210,126,84,0.6,2024-12-13,148.122,31
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,oskiyaa,oskiyaa,oskiyaa,oskiyaa,,1637.62,193,109,84,0.564767,2024-12-14,137.62,30
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,olavojusmtm,OlavoJusMTM,olavojusmtm,OlavoJusMTM,,1632.33,54,38,16,0.703704,2024-08-16,132.33,8
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1630.697,869,530,339,0.609896,2024-12-29,130.697,129
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,barff,barff,barff,barff,,1622.848,189,117,72,0.619048,2024-12-27,122.848,30
player,seasonal,2024,2026-05-02T03:43:10-03:00,22175,22200,2024,2024,rooney56,Rooney56,rooney56,Rooney56,,1617.547,49,32,17,0.653061,2024-12-13,117.547,8
