scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,yagu,Yagu,yagu,Yagu,,1478.612,7,2,5,0.285714,2025-02-22,-21.388,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,slankypotato,SlankyPotato,slankypotato,SlankyPotato,,1478.587,3,0,3,0,2025-12-18,-21.413,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,the302storm,the302storm,the302storm,the302storm,,1478.577,5,1,4,0.2,2025-01-24,-21.423,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,martin_dominguez,Martin_Dominguez,martin_dominguez,Martin_Dominguez,,1478.553,7,2,5,0.285714,2024-05-25,-21.447,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,0men,0men,0men,0men,,1478.51,5,1,4,0.2,2025-01-19,-21.49,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,taylor91,taylor91,taylor91,taylor91,,1478.494,5,1,4,0.2,2024-10-12,-21.506,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,sff,sff,sff,sff,,1478.481,5,1,4,0.2,2025-12-28,-21.519,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,cabezadebolo,Cabezadebolo,cabezadebolo,Cabezadebolo,,1478.439,26,10,16,0.384615,2025-11-15,-21.561,5
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,ipnotico86,Ipnotico86,ipnotico86,Ipnotico86,,1478.41,5,1,4,0.2,2024-12-29,-21.59,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,fazerx73,FazerX73,fazerx73,FazerX73,,1478.389,5,1,4,0.2,2025-02-02,-21.611,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,thierestms,ThieresTMS,thierestms,ThieresTMS,,1478.369,5,1,4,0.2,2024-05-03,-21.631,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,calverman,Calverman,calverman,Calverman,,1478.34,3,0,3,0,2025-08-02,-21.66,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,manjyui,manjyui,manjyui,manjyui,,1478.338,20,8,12,0.4,2025-07-12,-21.662,4
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,danielpena397,Danielpena397,danielpena397,Danielpena397,,1478.328,30,13,17,0.433333,2025-07-20,-21.672,5
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,olle0032,Olle0032,olle0032,Olle0032,,1478.282,5,1,4,0.2,2024-10-20,-21.718,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,darkrizos,Darkrizos,darkrizos,Darkrizos,,1478.27,3,0,3,0,2024-10-27,-21.73,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,tiokadu,TioKadu,tiokadu,TioKadu,,1478.265,5,1,4,0.2,2024-10-12,-21.735,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,toopoortoplay,TooPoorToPlay,toopoortoplay,TooPoorToPlay,,1478.218,9,3,6,0.333333,2025-06-07,-21.782,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,themanland,TheManLand,themanland,TheManLand,,1478.174,11,4,7,0.363636,2025-07-13,-21.826,3
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,isacconoli,IsacConoli,isacconoli,IsacConoli,,1478.152,9,3,6,0.333333,2025-08-17,-21.848,2
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,condenadoalexito,CondenadoAlExito,condenadoalexito,CondenadoAlExito,,1478.138,3,0,3,0,2025-08-02,-21.862,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,mayhemdj,MayhemDJ,mayhemdj,MayhemDJ,,1478.132,3,0,3,0,2025-08-02,-21.868,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,tumacho,Tumacho,tumacho,Tumacho,,1478.109,5,1,4,0.2,2024-12-06,-21.891,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,xmelanx,xmelanx,xmelanx,xmelanx,,1478.103,18,7,11,0.388889,2025-07-06,-21.897,3
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,flamennight,Flamennight,flamennight,Flamennight,,1478.087,7,2,5,0.285714,2025-11-02,-21.913,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,rinazina,rinazina,rinazina,rinazina,,1478.075,3,0,3,0,2025-08-15,-21.925,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,matsu_91,MATSU_91,matsu_91,MATSU_91,,1478.07,5,1,4,0.2,2024-08-10,-21.93,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,mortr3d,mortr3d,mortr3d,mortr3d,,1477.966,9,3,6,0.333333,2025-08-02,-22.034,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,capipf95,Capipf95,capipf95,Capipf95,,1477.961,3,0,3,0,2025-12-28,-22.039,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2024,2024,thiagocagao,ThiagoCagao,thiagocagao,ThiagoCagao,,1477.923,5,1,4,0.2,2024-05-25,-22.077,1
player,multi-year,2024,2025,reset,2026-05-02T03:43:10-03:00,51803,52052,2025,2025,filler101,FILLER101,filler101,FILLER101,,1477.914,15,6,9,0.4,2025-07-13,-22.086,2
