Date,EventType,Event,Rank,Player,Deck,Wins,Losses,Win Rate
2023-06-17,offline,Paupergeddon Pisa,1,Francini Roberto,Grixis Affinity,13,2,0.8666666666666667
2023-06-17,offline,Paupergeddon Pisa,2,Loss Tommaso,Altar Tron,11,2,0.8461538461538461
2023-06-17,offline,Paupergeddon Pisa,3,Navarra Emanuele,Boros Synth,11,3,0.7857142857142857
2023-06-17,offline,Paupergeddon Pisa,4,Dinarina Mislav,Grixis Affinity,10,2,0.8333333333333334
2023-06-17,offline,Paupergeddon Pisa,5,Spaggiari Filippo,Grixis Affinity,10,2,0.8333333333333334
2023-06-17,offline,Paupergeddon Pisa,6,Mengucci Andrea,Boros Synth,10,3,0.7692307692307693
2023-06-17,offline,Paupergeddon Pisa,7,Beatrice Andrea,Mono Blue Faeries,9,2,0.8181818181818182
2023-06-17,offline,Paupergeddon Pisa,8,Casotto Marco,Boros Synth,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,9,Carocci Pietro,Cawgate,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,10,Borghi Giovanni maria,Azorius Familiars,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,11,Manco Pietrangelo,Gruul Ponza,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,12,Zanatta Paolo,Dimir Terror,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,13,Priami Leonardo,Grixis Affinity,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,14,Fantini Alessandro,Cawgate,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,15,Favetta Giovanni,Walls Combo,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,16,Fiorenza Dario,Izzet Faeries,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,17,Candela Marco,Boros Synth,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,18,Barbolini Lorenzo,Unknown Deck,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,19,Ciancia Federico,Boros Synth,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,20,Grasso Nicolo,Azorius Familiars,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,21,Vassallo Marco,Boros Synth,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,22,Kuszynski Jan,Kuldotha Red,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,23,Buriak Ivan,Golgari Midrange,7,2,0.7777777777777778
2023-06-17,offline,Paupergeddon Pisa,24,Iasi Stefano,Azorius Familiars,7,2,0.7777777777777778
2023-06-17,offline,Paupergeddon Pisa,25,Mangiavillano Benedetto,Mono Blue Faeries,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,26,Di Lorenzo alessio,Mono Blue Faeries,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,27,Cibak Andrea,Golgari Midrange,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,28,Melotti Emanuele,Goblin Combo,7,3,0.7
2023-06-17,offline,Paupergeddon Pisa,29,Mattei Andrea,Boros Ephemerate,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,30,Bonato Riccardo,Altar Tron,7,3,0.7
