scope,window.type,window.startYear,window.endYear,window.mode,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,discovern,discoverN,discovern,discoverN,,1729.159,1080,701,379,0.649074,2025-12-28,229.159,166
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,marzaboi,marzaboi,marzaboi,marzaboi,,1687.325,494,271,223,0.548583,2025-12-28,187.325,92
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,grajtow,grajtow,grajtow,grajtow,,1677.167,68,49,19,0.720588,2025-12-28,177.167,9
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,ed_elric,Ed_Elric,ed_elric,Ed_Elric,,1653.55,203,129,74,0.635468,2025-11-22,153.55,30
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,gn42,Gn42,gn42,Gn42,,1652.256,318,214,104,0.672956,2025-12-28,152.256,54
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,niederschatten,Niederschatten,niederschatten,Niederschatten,,1644.884,560,309,251,0.551786,2025-12-28,144.884,99
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,ziofrancone,ziofrancone,ziofrancone,ziofrancone,,1641.45,471,278,193,0.590234,2025-12-28,141.45,79
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,todeshorst,Todeshorst,todeshorst,Todeshorst,,1639.252,50,35,15,0.7,2025-11-15,139.252,6
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,hype12232,Hype12232,hype12232,Hype12232,,1633.692,87,56,31,0.643678,2025-08-02,133.692,15
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,olavojusmtm,OlavoJusMTM,olavojusmtm,OlavoJusMTM,,1632.33,54,38,16,0.703704,2024-08-16,132.33,8
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,adrowo,Adrowo,adrowo,Adrowo,,1628.951,100,58,42,0.58,2025-11-15,128.951,16
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,walker735,Walker735,walker735,Walker735,,1626.551,595,350,245,0.588235,2025-12-28,126.551,99
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,brvnx,Brvnx,brvnx,Brvnx,,1623.94,154,90,64,0.584416,2025-12-28,123.94,24
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,sai199orz,sai199orz,sai199orz,sai199orz,,1623.26,283,143,140,0.5053,2025-11-16,123.26,50
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,drugo,Drugo,drugo,Drugo,,1621.57,122,67,55,0.54918,2025-12-28,121.57,20
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,edo_01,Edo_01,edo_01,Edo_01,,1620.889,154,84,70,0.545455,2025-12-11,120.889,28
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1618.267,1934,1190,744,0.615305,2025-12-28,118.267,285
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,flower270,flower270,flower270,flower270,,1615.659,55,36,19,0.654545,2025-12-28,115.659,8
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,captain_tsubasa,Captain_Tsubasa,captain_tsubasa,Captain_Tsubasa,,1615.457,448,250,198,0.558036,2025-12-28,115.457,69
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,jwaves,jwaves,jwaves,jwaves,,1615.408,372,224,148,0.602151,2025-08-02,115.408,56
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,o_danielakos,O_danielakos,o_danielakos,O_danielakos,,1614.307,630,340,290,0.539683,2025-12-21,114.307,108
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,ict95,ICT95,ict95,ICT95,,1614.242,167,92,75,0.550898,2025-08-31,114.242,28
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,brivenix,Brivenix,brivenix,Brivenix,,1614.238,493,280,213,0.567951,2025-09-27,114.238,78
player,multi-year,2024,2025,continuous,2026-05-02T03:43:10-03:00,51803,52052,2024-2025,All-time,banduz,Banduz,banduz,Banduz,,1614.022,69,44,25,0.637681,2025-11-15,114.022,10
