scope,window.type,window.year,generatedAt,matchCount,selectedMatchCount,seasonKey,seasonYear,playerKey,displayName,basePlayerKey,basePlayerName,deck,rating,matches,wins,losses,winRate,lastActiveDate,eloGain,eventCount
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,barff,barff,barff,barff,,1666.532,224,158,66,0.705357,2026-05-10,166.532,35
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,jessy_samek,jessy_samek,jessy_samek,jessy_samek,,1638.512,85,52,33,0.611765,2026-04-19,138.512,14
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,luminati,Luminati,luminati,Luminati,,1638.199,496,298,198,0.600806,2026-05-10,138.199,76
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,walker735,Walker735,walker735,Walker735,,1629.799,221,135,86,0.61086,2026-05-10,129.799,37
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,exelis,eXeliS,exelis,eXeliS,,1621.398,25,20,5,0.8,2026-05-10,121.398,3
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,grajtow,grajtow,grajtow,grajtow,,1616.972,102,62,40,0.607843,2026-05-10,116.972,15
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,enz091,Enz091,enz091,Enz091,,1616.605,81,52,29,0.641975,2026-05-10,116.605,12
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,seasonofmists,seasonofmists,seasonofmists,seasonofmists,,1616.528,260,159,101,0.611538,2026-05-10,116.528,47
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,spikeyou,SpikeYou,spikeyou,SpikeYou,,1612.882,71,44,27,0.619718,2026-05-10,112.882,11
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,primoshow1,PrimoShow1,primoshow1,PrimoShow1,,1608.183,115,68,47,0.591304,2026-05-08,108.183,18
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,mehanske,mehanske,mehanske,mehanske,,1607.683,162,99,63,0.611111,2026-05-09,107.683,26
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,purgatory_01,Purgatory_01,purgatory_01,Purgatory_01,,1607.65,139,85,54,0.611511,2026-05-10,107.65,22
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,saculsueahtam,SaculSueahtam,saculsueahtam,SaculSueahtam,,1601.187,231,122,109,0.528139,2026-05-10,101.187,44
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,_against_,_against_,_against_,_against_,,1601.064,177,110,67,0.621469,2026-05-08,101.064,28
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,nicknorman,NickNorman,nicknorman,NickNorman,,1600.454,235,136,99,0.578723,2026-05-10,100.454,40
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,pnascimento,PNascimento,pnascimento,PNascimento,,1599.633,202,112,90,0.554455,2026-05-10,99.633,33
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,bernastorres,BERNASTORRES,bernastorres,BERNASTORRES,,1598.323,52,30,22,0.576923,2026-05-10,98.323,10
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,mistertwin,MisterTwin,mistertwin,MisterTwin,,1598.133,324,188,136,0.580247,2026-05-10,98.133,55
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,aswerty,asWerty,aswerty,asWerty,,1597.826,62,39,23,0.629032,2026-05-10,97.826,9
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,carvs,carvs,carvs,carvs,,1595.451,170,93,77,0.547059,2026-05-10,95.451,29
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,niederschatten,Niederschatten,niederschatten,Niederschatten,,1594.939,150,89,61,0.593333,2026-05-10,94.939,28
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,__noob__,__Noob__,__noob__,__Noob__,,1593.625,369,230,139,0.623306,2026-05-10,93.625,60
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,luffydochapeudepalha,LuffyDoChapeuDePalha,luffydochapeudepalha,LuffyDoChapeuDePalha,,1591.685,505,309,196,0.611881,2026-05-10,91.685,75
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,vini_torres,vini_torres,vini_torres,vini_torres,,1588.063,162,93,69,0.574074,2026-05-10,88.063,26
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,emogoblin,Emogoblin,emogoblin,Emogoblin,,1587.807,59,34,25,0.576271,2026-04-30,87.807,9
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,boom_bust,boom_bust,boom_bust,boom_bust,,1587.41,191,115,76,0.602094,2026-05-08,87.41,29
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,_blaze66,_blaze66,_blaze66,_blaze66,,1582.866,332,166,166,0.5,2026-05-10,82.866,54
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,chris-mtg-02,CHRIS-Mtg-02,chris-mtg-02,CHRIS-Mtg-02,,1579.49,39,25,14,0.641026,2026-03-28,79.49,6
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,thediabetical,thediabetical,thediabetical,thediabetical,,1577.796,20,15,5,0.75,2026-03-27,77.796,3
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,billsive,billsive,billsive,billsive,,1576.963,22,16,6,0.727273,2026-03-29,76.963,3
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,roter_erzengel,roter_Erzengel,roter_erzengel,roter_Erzengel,,1575.685,89,49,40,0.550562,2026-05-10,75.685,16
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,beicodegeia,Beicodegeia,beicodegeia,Beicodegeia,,1575.431,248,153,95,0.616935,2026-05-10,75.431,38
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,discovern,discoverN,discovern,discoverN,,1575.027,165,102,63,0.618182,2026-05-10,75.027,26
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,a_adeptoterra,A_AdeptoTerra,a_adeptoterra,A_AdeptoTerra,,1574.324,96,51,45,0.53125,2026-05-10,74.324,18
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,atmagic,ATmagic,atmagic,ATmagic,,1572.74,16,12,4,0.75,2026-02-28,72.74,2
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,cam_13,CAM_13,cam_13,CAM_13,,1571.311,61,37,24,0.606557,2026-05-10,71.311,9
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,drugo,Drugo,drugo,Drugo,,1571.05,60,38,22,0.633333,2026-05-10,71.05,9
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,muril0ambra,Muril0Ambra,muril0ambra,Muril0Ambra,,1570.766,27,18,9,0.666667,2026-03-08,70.766,4
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,cicciogire,cicciogire,cicciogire,cicciogire,,1568.45,110,59,51,0.536364,2026-05-10,68.45,23
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,gn42,Gn42,gn42,Gn42,,1568.03,32,21,11,0.65625,2026-05-03,68.03,7
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,flower270,flower270,flower270,flower270,,1567.849,42,27,15,0.642857,2026-05-10,67.849,6
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,dr. jon osterman,Dr. Jon Osterman,dr. jon osterman,Dr. Jon Osterman,,1565.699,48,30,18,0.625,2026-04-10,65.699,7
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,fazparte,fazparte,fazparte,fazparte,,1564.985,159,77,82,0.484277,2026-05-08,64.985,26
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,olati,olati,olati,olati,,1564.897,34,22,12,0.647059,2026-05-08,64.897,5
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,daifuku,daifuku,daifuku,daifuku,,1564.84,42,26,16,0.619048,2026-05-01,64.84,6
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,hyuma,hyuma,hyuma,hyuma,,1563.976,24,16,8,0.666667,2026-05-10,63.976,4
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,viashinoperuano,viashinoperuano,viashinoperuano,viashinoperuano,,1563.922,250,135,115,0.54,2026-05-10,63.922,44
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,triso,Triso,triso,Triso,,1563.649,29,19,10,0.655172,2026-05-10,63.649,4
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,kaikas,kaikas,kaikas,kaikas,,1563.164,48,26,22,0.541667,2026-05-09,63.164,9
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,terracotta99,Terracotta99,terracotta99,Terracotta99,,1562.843,34,21,13,0.617647,2026-05-03,62.843,5
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,igorfeitosa,IgorFeitosa,igorfeitosa,IgorFeitosa,,1562.525,21,14,7,0.666667,2026-04-05,62.525,3
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,pr0boszcz,PR0boszcz,pr0boszcz,PR0boszcz,,1562.487,94,58,36,0.617021,2026-05-10,62.487,17
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,adryannthehero04,AdryannTheHero04,adryannthehero04,AdryannTheHero04,,1561.407,17,12,5,0.705882,2026-05-03,61.407,2
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,bugsy69,Bugsy69,bugsy69,Bugsy69,,1559.18,30,18,12,0.6,2026-04-09,59.18,5
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,heliolima,HelioLima,heliolima,HelioLima,,1558.953,62,36,26,0.580645,2026-04-05,58.953,11
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,brvnx,Brvnx,brvnx,Brvnx,,1558.389,78,41,37,0.525641,2026-05-02,58.389,13
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,heisen01,Heisen01,heisen01,Heisen01,,1558.33,65,38,27,0.584615,2026-05-01,58.33,11
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,kampo,Kampo,kampo,Kampo,,1557.762,66,39,27,0.590909,2026-03-28,57.762,12
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,elessar_play,ELESSAR_PLAY,elessar_play,ELESSAR_PLAY,,1557.746,18,12,6,0.666667,2026-03-12,57.746,3
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,aoftw,AoFTW,aoftw,AoFTW,,1557.102,11,9,2,0.818182,2026-03-21,57.102,2
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,mikibairon96,Mikibairon96,mikibairon96,Mikibairon96,,1557.099,22,15,7,0.681818,2026-05-10,57.099,3
player,seasonal,2026,2026-05-11T02:34:04+00:00,12140,12148,2026,2026,pellaria,Pellaria,pellaria,Pellaria,,1556.193,19,13,6,0.684211,2026-05-10,56.193,3
